,PassengerId,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Pclass_1,Pclass_2,Pclass_3,Master,Miss,Mr,Mrs,Officer,Royalty,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_U,FamilySize,Family_Single,Family_Small,Family_large
61,62,1.0,0,38.0,0,0,113572,80.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
62,63,0.0,1,45.0,1,0,36973,83.475,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
63,64,0.0,1,4.0,3,2,347088,27.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
64,65,0.0,1,29.9,0,0,PC 17605,27.7208,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
65,66,1.0,1,29.9,1,1,2661,15.2458,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
66,67,1.0,0,29.0,0,0,C.A. 29395,10.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
67,68,0.0,1,19.0,0,0,S.P. 3464,8.1583,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
68,69,1.0,0,17.0,4,2,3101281,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
69,70,0.0,1,26.0,2,0,315151,8.6625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
70,71,0.0,1,32.0,0,0,C.A. 33111,10.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
71,72,0.0,0,16.0,5,2,CA 2144,46.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1
72,73,0.0,1,21.0,0,0,S.O.C. 14879,73.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
73,74,0.0,1,26.0,1,0,2680,14.4542,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
74,75,1.0,1,32.0,0,0,1601,56.4958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
75,76,0.0,1,25.0,0,0,348123,7.65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
76,77,0.0,1,29.9,0,0,349208,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
77,78,0.0,1,29.9,0,0,374746,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
78,79,1.0,1,0.83,0,2,248738,29.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
79,80,1.0,0,30.0,0,0,364516,12.475,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
80,81,0.0,1,22.0,0,0,345767,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
81,82,1.0,1,29.0,0,0,345779,9.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
82,83,1.0,0,29.9,0,0,330932,7.7875,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
83,84,0.0,1,28.0,0,0,113059,47.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
84,85,1.0,0,17.0,0,0,SO/C 14885,10.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
85,86,1.0,0,33.0,3,0,3101278,15.85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
86,87,0.0,1,16.0,1,3,W./C. 6608,34.375,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
87,88,0.0,1,29.9,0,0,SOTON/OQ 392086,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
88,89,1.0,0,23.0,3,2,19950,263.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1
89,90,0.0,1,24.0,0,0,343275,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
90,91,0.0,1,29.0,0,0,343276,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
91,92,0.0,1,20.0,0,0,347466,7.8542,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
92,93,0.0,1,46.0,1,0,W.E.P. 5734,61.175,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
93,94,0.0,1,26.0,1,2,C.A. 2315,20.575,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
94,95,0.0,1,59.0,0,0,364500,7.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
95,96,0.0,1,29.9,0,0,374910,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
96,97,0.0,1,71.0,0,0,PC 17754,34.6542,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
97,98,1.0,1,23.0,0,1,PC 17759,63.3583,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0
98,99,1.0,0,34.0,0,1,231919,23.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
99,100,0.0,1,34.0,1,0,244367,26.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
100,101,0.0,0,28.0,0,0,349245,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
101,102,0.0,1,29.9,0,0,349215,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
102,103,0.0,1,21.0,0,1,35281,77.2875,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0
103,104,0.0,1,33.0,0,0,7540,8.6542,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
104,105,0.0,1,37.0,2,0,3101276,7.925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
105,106,0.0,1,28.0,0,0,349207,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
106,107,1.0,0,21.0,0,0,343120,7.65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
107,108,1.0,1,29.9,0,0,312991,7.775,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
108,109,0.0,1,38.0,0,0,349249,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
109,110,1.0,0,29.9,1,0,371110,24.15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
110,111,0.0,1,47.0,0,0,110465,52.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
111,112,0.0,0,14.5,1,0,2665,14.4542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
112,113,0.0,1,22.0,0,0,324669,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
113,114,0.0,0,20.0,1,0,4136,9.825,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
114,115,0.0,0,17.0,0,0,2627,14.4583,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
115,116,0.0,1,21.0,0,0,STON/O 2. 3101294,7.925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
116,117,0.0,1,70.5,0,0,370369,7.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
117,118,0.0,1,29.0,1,0,11668,21.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
118,119,0.0,1,24.0,0,1,PC 17558,247.5208,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
119,120,0.0,0,2.0,4,2,347082,31.275,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
120,121,0.0,1,21.0,2,0,S.O.C. 14879,73.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
121,122,0.0,1,29.9,0,0,A4. 54510,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
122,123,0.0,1,32.5,1,0,237736,30.0708,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
123,124,1.0,0,32.5,0,0,27267,13.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
124,125,0.0,1,54.0,0,1,35281,77.2875,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0
125,126,1.0,1,12.0,1,0,2651,11.2417,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
126,127,0.0,1,29.9,0,0,370372,7.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
127,128,1.0,1,24.0,0,0,C 17369,7.1417,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
128,129,1.0,0,29.9,1,1,2668,22.3583,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
129,130,0.0,1,45.0,0,0,347061,6.975,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
130,131,0.0,1,33.0,0,0,349241,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
131,132,0.0,1,20.0,0,0,SOTON/O.Q. 3101307,7.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
132,133,0.0,0,47.0,1,0,A/5. 3337,14.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
133,134,1.0,0,29.0,1,0,228414,26.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
134,135,0.0,1,25.0,0,0,C.A. 29178,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
135,136,0.0,1,23.0,0,0,SC/PARIS 2133,15.0458,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
136,137,1.0,0,19.0,0,2,11752,26.2833,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
137,138,0.0,1,37.0,1,0,113803,53.1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
138,139,0.0,1,16.0,0,0,7534,9.2167,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
139,140,0.0,1,24.0,0,0,PC 17593,79.2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
140,141,0.0,0,29.9,0,2,2678,15.2458,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
141,142,1.0,0,22.0,0,0,347081,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
142,143,1.0,0,24.0,1,0,STON/O2. 3101279,15.85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
143,144,0.0,1,19.0,0,0,365222,6.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
144,145,0.0,1,18.0,0,0,231945,11.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
145,146,0.0,1,19.0,1,1,C.A. 33112,36.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
146,147,1.0,1,27.0,0,0,350043,7.7958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
147,148,0.0,0,9.0,2,2,W./C. 6608,34.375,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
148,149,0.0,1,36.5,0,2,230080,26.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
149,150,0.0,1,42.0,0,0,244310,13.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
150,151,0.0,1,51.0,0,0,S.O.P. 1166,12.525,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
151,152,1.0,0,22.0,1,0,113776,66.6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0
152,153,0.0,1,55.5,0,0,A.5. 11206,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
153,154,0.0,1,40.5,0,2,A/5. 851,14.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
154,155,0.0,1,29.9,0,0,Fa 265302,7.3125,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
155,156,0.0,1,51.0,0,1,PC 17597,61.3792,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
156,157,1.0,0,16.0,0,0,35851,7.7333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
157,158,0.0,1,30.0,0,0,SOTON/OQ 392090,8.05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
158,159,0.0,1,29.9,0,0,315037,8.6625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
159,160,0.0,1,29.9,8,2,CA. 2343,69.55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1
160,161,0.0,1,44.0,0,1,371362,16.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
161,162,1.0,0,40.0,0,0,C.A. 33595,15.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
162,163,0.0,1,26.0,0,0,347068,7.775,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
163,164,0.0,1,17.0,0,0,315093,8.6625,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
164,165,0.0,1,1.0,4,1,3101295,39.6875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
165,166,1.0,1,9.0,0,2,363291,20.525,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
166,167,1.0,0,29.9,0,1,113505,55.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
167,168,0.0,0,45.0,1,4,347088,27.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
168,169,0.0,1,29.9,0,0,PC 17318,25.925,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
169,170,0.0,1,28.0,0,0,1601,56.4958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
170,171,0.0,1,61.0,0,0,111240,33.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
171,172,0.0,1,4.0,4,1,382652,29.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1
172,173,1.0,0,1.0,1,1,347742,11.1333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
173,174,0.0,1,21.0,0,0,STON/O 2. 3101280,7.925,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
174,175,0.0,1,56.0,0,0,17764,30.6958,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
175,176,0.0,1,18.0,1,1,350404,7.8542,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
176,177,0.0,1,29.9,3,1,4133,25.4667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
177,178,0.0,0,50.0,0,0,PC 17595,28.7125,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
178,179,0.0,1,30.0,0,0,250653,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
179,180,0.0,1,36.0,0,0,LINE,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
180,181,0.0,0,29.9,8,2,CA. 2343,69.55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1
181,182,0.0,1,29.9,0,0,SC/PARIS 2131,15.05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
182,183,0.0,1,9.0,4,2,347077,31.3875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1
183,184,1.0,1,1.0,2,1,230136,39.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
184,185,1.0,0,4.0,0,2,315153,22.025,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
185,186,0.0,1,29.9,0,0,113767,50.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
186,187,1.0,0,29.9,1,0,370365,15.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
187,188,1.0,1,45.0,0,0,111428,26.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
188,189,0.0,1,40.0,1,1,364849,15.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
189,190,0.0,1,36.0,0,0,349247,7.8958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
190,191,1.0,0,32.0,0,0,234604,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
191,192,0.0,1,19.0,0,0,28424,13.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
